feature,coef
max_command_repeat_count,1.5054028832073967
n_read,1.1407703065627774
search_to_edit_ratio,0.9113148214649621
n_model_tokens_approx,0.6435409447656302
n_tracebacks_seen,-0.487809953525221
edited_before_any_read,0.47363296006095446
edit_test_edit_test_loop_count,-0.32460907795791555
prefix_step,0.310816125865177
n_actions_seen,0.310816125865177
test_to_edit_ratio,-0.3104455998717406
n_other,-0.3045140679386807
edit_to_read_ratio,0.2851568061343657
avg_observation_chars,-0.2545412436314615
n_test,0.24631613219312273
edited_before_any_search,-0.2252255252000104
n_install,0.21222946440928214
n_unique_dirs_edited,-0.20450954431209514
n_submit,-0.1957189193442446
n_observation_chars,-0.19381363851662628
n_search,-0.190327832322778
repeated_exact_command_last_5,0.1820032598210398
edited_file_never_read_count,0.17695161435957565
n_searches_before_first_edit,-0.1297402151720093
same_test_command_repeated,0.12357947957039774
n_assertion_errors_seen,-0.12261841672676245
tests_worsening,0.10908256323926818
repeated_exact_command_last_3,0.10280516994828116
read_same_file_repeatedly,-0.09353128974438508
n_src_files_touched,-0.08388502912778414
n_unique_files_seen,-0.07913562627184811
test_fail_count_delta,0.07599169091795704
last_test_returncode,0.060715370794555766
last_test_pass_count,0.06024210937852916
n_unique_files_edited,-0.04833961518209254
same_file_edit_count_max,-0.046648022407508385
last_test_fail_count,0.04110045515984623
tests_improving,-0.0356794586736311
n_reads_before_first_edit,-0.025576163970379148
n_unique_files_read,0.02224498497088818
same_action_type_streak,0.019143907189331635
n_test_runs,-0.016017948124411298
n_environment,0.010072985444482282
n_test_files_touched,-0.004954897256199636
first_edit_step,0.0017031793443292639
n_edit,0.0013803818927571787
n_git,0.0
